conversion_id,session_id,timestamp,channel_label,holder_engagement,closer_engagement,conversion,impression_interaction
00179676da577b9b60ddf4b5dc8af836d4314f74b83aa277a8549254d85aa82f,efde24d57be997f6eda164abe303aab53ad08e4311d358833fb59e88a53e0169,2023-10-16 13:57:25,FB & IG Ads,1,1,1,0
00179676da577b9b60ddf4b5dc8af836d4314f74b83aa277a8549254d85aa82f,7da3b3ed8a6f5c9d16d4fea8c35f9d784655fda1a799365678d263cf2125aa68,2023-10-16 18:22:41,FB & IG Ads,1,1,1,0
00179676da577b9b60ddf4b5dc8af836d4314f74b83aa277a8549254d85aa82f,f11028c618810e2b72f9eceb9140ca426939bc88d79510669735767788fbcef0,2023-10-16 23:15:25,FB & IG Ads,1,0,1,0
001d12700b75212f67b2abde0f7a956ea9f32b6988d21b631a665e8a83e0e179,3c98ec86179871f3b4b92952dc83636271bb3d7be46d3f060a72530525a33bc7,2023-10-16 19:28:42,FB & IG Ads,1,0,1,0
00c85926ec68053de677bf3f84871f1faa46b6bc194980b4da59598bdb6bb44c,b90a94684dc5a2d94bbcd5eedf1329257d201ed79134df9ddc41563a09cf780c,2023-10-16 21:20:28,Organic Traffic,1,1,0,0
00d579ea1fafcce99d50513c0d1b94cb743bfba2fb8049e986e22eb28f6524a0,18e39b79950314afc50da25dbf6a7c69924ad4f7db51ad91383a26f3a6aba6df,2023-10-16 21:34:49,Direct Traffic,1,1,0,0
014857e60fae3500a38f5c294236c4673fe731e81184ba9464e6e856da98bc16,45d7c959663b7823d34aa28327b3054ff9d30067f986646d44a1aca96e606921,2023-10-16 14:31:50,Direct Traffic,1,0,0,0
014857e60fae3500a38f5c294236c4673fe731e81184ba9464e6e856da98bc16,96a5835f8587d9e308b49a9024b9cd53420d2ded0900487cbf4316545a5d9426,2023-10-16 15:17:02,Performance Max,1,0,1,0
018f735f0d16bee7d8a4783e8c66827b8da2236840e9accd483a4ff296de04ed,3e736e584daf604c68f44b56acc2809e63ed6a5c0927837dfb9e30562e8ebc79,2023-10-16 16:58:03,Direct Traffic,1,0,0,0
018f735f0d16bee7d8a4783e8c66827b8da2236840e9accd483a4ff296de04ed,f4adcf2a50dabc528b0c6a0c1fc9047d7e2df5cba51462097434d18269326d31,2023-10-16 16:58:54,Newsletter & Email,1,1,0,0
021d664fd84012b4fd34e60e20a082083f8844454513d7983df46302b908c1c3,abfa9a7d1426906872eb594ed7f7943858221c2c01cf4503f7506454c684f4e6,2023-10-16 13:00:55,Direct Traffic,0,1,0,0
